id1,affil1,affil_tokens_labeled,affil_tokens,total_entities
7927,", IBM Almaden Research Center, 650 Harry Road, CA 95120, San Jose, USA",IBM Almaden Research Center<ORG>; Harry Road<LOC>; CA 95120<LOC>; San Jose<LOC>; USA<LOC>,IBM Almaden Research Center; Harry Road; CA 95120; San Jose; USA,5
7930,", IIT Bombay",Bombay<LOC>,Bombay,1
7987,", University of California, San Diego, USA",University of California<ORG>; San Diego<LOC>; USA<LOC>,University of California; San Diego; USA,3
5613,"28msec Inc., Zurich, Switzerland",28msec Inc.<ORG>; Zurich<LOC>; Switzerland<LOC>,28msec Inc.; Zurich; Switzerland,3
9530,"28msec, Inc.","28msec, Inc<ORG>","28msec, Inc",1
7952,"76 Patision Street, Athens University of Economics and Business, Athens, Greece",Athens University of Economics and Business<ORG>; Athens<LOC>; Greece<LOC>,Athens University of Economics and Business; Athens; Greece,3
7569,Aalborg Univ.,Aalborg Univ<PER>,Aalborg Univ,1
7608,"Aalborg Univ., Aalborg, The Netherlands",Aalborg Univ<PER>; Aalborg<LOC>; The Netherlands<LOC>,Aalborg Univ; Aalborg; The Netherlands,3
946,Aalborg University,Aalborg University<ORG>,Aalborg University,1
2336,"Aalborg University, Aalborg, Denmark",Aalborg University<ORG>; Aalborg<LOC>; Denmark<LOC>,Aalborg University; Aalborg; Denmark,3
2367,"Aalborg University, Denmark",Aalborg University<ORG>; Denmark<LOC>,Aalborg University; Denmark,2
8298,"Aalborg University, Denmark, Ost, Denmark",Aalborg University<ORG>; Denmark<LOC>; Ost<LOC>,Aalborg University; Denmark; Ost,4
651,"Advanced Data Management Technologies Laboratory, Department of Computer Science, University of Pittsburgh, Pittsburgh, PA",Advanced Data Management Technologies Laboratory<MISC>; Department of Computer Science<ORG>; University of Pittsburgh<ORG>; Pittsburgh<LOC>; PA<LOC>,Advanced Data Management Technologies Laboratory; Department of Computer Science; University of Pittsburgh; Pittsburgh; PA,5
7572,Agricultural Univ. of Athens,Athens<LOC>,Athens,1
8865,"Alma Mater Studiorum—Università di Bologna, Bologna, Italy",Alma Mater Studiorum—<MISC>; Università di Bologna<LOC>; Bologna<LOC>; Italy<LOC>,Alma Mater Studiorum—; Università di Bologna; Bologna; Italy,4
8445,Almaden,Almaden<ORG>,Almaden,1
5887,"Almaden Research Center, San Jose, CA, USA",Research Center<LOC>; San Jose<LOC>; CA<LOC>; USA<LOC>,Research Center; San Jose; CA; USA,4
672,"Amazon Corp., Seattle",Amazon Corp<LOC>; Seattle<LOC>,Amazon Corp; Seattle,2
8128,"Amazon.com, Seattle",Amazon.com<ORG>; Seattle<LOC>,Amazon.com; Seattle,2
8425,"Applications Research Laboratory, Corporate Technology Group, Intel Corporation, USA",Applications Research Laboratory<ORG>; Corporate Technology Group<ORG>; Intel Corporation<ORG>; USA<LOC>,Applications Research Laboratory; Corporate Technology Group; Intel Corporation; USA,4
3893,"Aristotle University, Thessaloniki, Greece",Aristotle University<ORG>; Thessaloniki<LOC>; Greece<LOC>,Aristotle University; Thessaloniki; Greece,3
2341,"Arizona State Univ., Tempe, AZ",Arizona State Univ<LOC>; Tempe<LOC>; AZ<ORG>,Arizona State Univ; Tempe; AZ,3
2634,Arizona State University,Arizona State University<ORG>,Arizona State University,1
494,"Arizona State University, Arizona",Arizona State University<ORG>; Arizona<LOC>,Arizona State University; Arizona,2
2385,"Arizona State University, Tempe, AZ",Arizona State University<ORG>; Tempe<ORG>; AZ<ORG>,Arizona State University; Tempe; AZ,3
5629,"Arizona State University, Tempe, AZ, USA",Arizona State University<ORG>; Tempe<ORG>; AZ<ORG>; USA<LOC>,Arizona State University; Tempe; AZ; USA,4
