node_id,cluster_id,cluster_size
366,0,2
8251,0,2
37,1,19
369,1,19
1261,1,19
1529,1,19
1766,1,19
2131,1,19
2138,1,19
2840,1,19
3128,1,19
3310,1,19
5066,1,19
5117,1,19
5737,1,19
7439,1,19
7771,1,19
7886,1,19
8139,1,19
8841,1,19
8842,1,19
1532,2,9
4573,2,9
8320,2,9
8465,2,9
8508,2,9
8837,2,9
9191,2,9
9305,2,9
9355,2,9
1577,3,3
8042,3,3
9135,3,3
5715,4,12
5716,4,12
8253,4,12
8500,4,12
8516,4,12
8788,4,12
8789,4,12
9141,4,12
9201,4,12
9351,4,12
9353,4,12
9354,4,12
8258,5,2
8511,5,2
851,6,4
895,6,4
6521,6,4
8571,6,4
1778,7,2
8398,7,2
7962,8,2
7963,8,2
63,9,4
6902,9,4
8434,9,4
8949,9,4
72,10,8
919,10,8
1807,10,8
6402,10,8
6690,10,8
6738,10,8
6979,10,8
9374,10,8
81,11,12
597,11,12
1448,11,12
2149,11,12
2851,11,12
3243,11,12
7607,11,12
7799,11,12
8059,11,12
8274,11,12
8538,11,12
8748,11,12
273,12,4
1434,12,4
6727,12,4
7788,12,4
407,13,9
538,13,9
6496,13,9
7240,13,9
7582,13,9
7695,13,9
7712,13,9
7967,13,9
8449,13,9
431,14,3
2959,14,3
8834,14,3
20,15,37
34,15,37
240,15,37
428,15,37
1184,15,37
1322,15,37
1572,15,37
1659,15,37
1974,15,37
1980,15,37
2031,15,37
2037,15,37
2795,15,37
3867,15,37
4158,15,37
4422,15,37
4737,15,37
4740,15,37
5675,15,37
5800,15,37
6258,15,37
6904,15,37
6944,15,37
7036,15,37
7789,15,37
7791,15,37
8154,15,37
8159,15,37
8306,15,37
8479,15,37
8679,15,37
8695,15,37
8809,15,37
8950,15,37
9056,15,37
9480,15,37
9593,15,37
7909,16,2
9286,16,2
42,17,3
3038,17,3
9306,17,3
41,18,26
48,18,26
51,18,26
760,18,26
762,18,26
840,18,26
1387,18,26
1390,18,26
1767,18,26
1769,18,26
2323,18,26
2461,18,26
3241,18,26
3826,18,26
5403,18,26
5676,18,26
7810,18,26
7811,18,26
7890,18,26
7935,18,26
8683,18,26
8686,18,26
8687,18,26
8992,18,26
9376,18,26
9385,18,26
887,19,3
5677,19,3
9735,19,3
915,20,7
2711,20,7
4516,20,7
5894,20,7
6451,20,7
8510,20,7
9726,20,7
1607,21,4
2425,21,4
2438,21,4
9485,21,4
1726,22,3
2281,22,3
5638,22,3
1811,23,2
5173,23,2
2583,24,3
8459,24,3
9641,24,3
2603,25,3
2895,25,3
8534,25,3
2706,26,6
5162,26,6
5340,26,6
5889,26,6
6210,26,6
9721,26,6
1476,27,8
1595,27,8
2336,27,8
2367,27,8
7786,27,8
7980,27,8
8298,27,8
9360,27,8
581,28,2
1411,28,2
988,29,3
3961,29,3
7845,29,3
1225,30,16
1496,30,16
1723,30,16
2222,30,16
2649,30,16
2687,30,16
4664,30,16
6510,30,16
6607,30,16
6856,30,16
7676,30,16
7793,30,16
7953,30,16
8025,30,16
8179,30,16
8295,30,16
2691,31,4
2872,31,4
7680,31,4
9413,31,4
580,32,12
2221,32,12
2862,32,12
3965,32,12
6535,32,12
6609,32,12
7847,32,12
7870,32,12
8148,32,12
8255,32,12
9414,32,12
9785,32,12
4967,33,2
7724,33,2
5146,34,2
5148,34,2
114,35,5
1459,35,5
2626,35,5
6682,35,5
8914,35,5
388,36,9
1277,36,9
1278,36,9
1279,36,9
1764,36,9
4488,36,9
5240,36,9
7734,36,9
7735,36,9
